;and a bit of angst;Original Character(s);Alternate Universe - Modern Setting;Alternate Universe;Magic;Fantasy;Action/Adventure;Violence;Hurt/Comfort;Emotional Hurt/Comfort;Found Family;Alpha/Beta/Omega Dynamics;no beta we die like jason todd;Alternate Universe - Canon Divergence;Established Relationship;Fluff;Fix-It;Smut;PWP;lil bit of angst;Not Beta Read;Character Death;Original Character;Original Female Character(s);Friends to Lovers;Slow Burn;Post-Traumatic Stress Disorder - PTSD;Fluff and Angst;Romance;Other Additional Tags to Be Added;Friendship;Canon Related;Love;Steve Rogers;Natasha Romanov (Marvel);Tony Stark;James "Bucky" Barnes;Clint Barton;Domestic Fluff;One Shot;Post-Canon;Humor;Crack;Rough Sex;Drugs;Angst;Art;Blood;Swearing;Alternate Universe - Canon;Modern Era;Angst and Hurt/Comfort;Oral Sex;Anal Sex;Original Male Character(s);Bondage;Fluff and Smut;Alternate Universe - College/University;Falling In Love;Canon Compliant;Mutual Pining;Love Confessions;Explicit Sexual Content;Angst with a Happy Ending;Dirty Talk;Vaginal Sex;Mild Angst;First Kiss;Pre-Relationship;Canon-Typical Violence;Pining;Incest;Polyamory;Sex Toys;Background Relationships;Dom/sub;Death;Blow Jobs;Alcohol;Slow Build;Kissing;Longing;First Time;College;Mild Sexual Content;Jealousy;Torture;Reader;Sexual Content;Anal Play;Depression;College AU;Drug Use;AU;Mental Health Issues;OMC;BDSM;Feels;Tooth-Rotting Fluff;Happy Ending;Homosexuality;friends - Freeform;Suicide;Anal Fingering;Sad;Drabble;Fluff and Humor;Plot What Plot/Porn Without Plot;Soulmates;soul mates;Crossovers & Fandom Fusions;Cuddling & Snuggling;Drama;Hand Job;alternative universe;Sex;Siblings;Friendship/Love;Cute;Dreams and Nightmares;Light Angst;University;Hermione Granger;Domestic;blowjob;Threesome;Masturbation;Food;Children;Fingerfucking;LGBTQ Themes;Orgasm;Protectiveness;Roughness;Harry Potter;Family;Supernatural Elements;Holidays;Getting Together;Confessions;Graphic Descriptions of Injuries;Sweet;Winter Soldier;Rape/Non-con Elements;Dubious Consent;Implied/Referenced Abuse;Homophobia;Science Fiction & Fantasy;Loss;Injury;OC - Character;OCs;Music;depictions of violence;noncon;Grief;Iron Man;Captain America - Character;no beta we die like men;Abuse;Trauma;Spoilers;Modern AU;Pregnancy;Draco Malfoy;Fingering;High School;Trans Character;Illnesses;Bakugou Katsuki;Midoriya Izuku;Kink;Language;Marriage;Feelings;Porn;Fantasy elements;Min Yoongi | Suga;Jeon Jungkook;Kim Taehyung | V;Park Jimin (BTS);Sherlock Holmes;Kisses;Oneshot;Dean Winchester (Mentioned);Canon Typical Violence;Hurt;Character Study;Mythical Beings & Creatures;Gay;LGBTQ Character;Bisexuality;Natasha Romanoff;Canon Divergence;No Beta;slowburn;Parenthood;OC;Mentions of Blood;mentions of abuse;Families of Choice;D/s;dubcon;Anal;Major character death - Freeform;Original Male Character;PTSD;Child Abuse;Tooth Rotting Fluff;Original Character(s) - Character;More tags to be added;Sickness;Illness;Sam Winchester;Castiel/Dean Winchester;Castiel (Supernatural);Porn Without Plot;Bucky Barnes;slight angst;Mourning;Yearning;Minor Angst;Some Fluff;Mental Illness;Alternate Canon;Fluffy;Cuddling;Sadness;Consent;Destiel;Humour;Light-Hearted;Some angst;Hurt and comfort;injuries;One-Sided Relationship;Unbeta'd;Rated T for language;Enemies;lots of feelings;Tension;Drugging;crackfic;Fix It;Plot What Plot;Deviates From Canon;One-Shot;Relationship(s);Mentions of Violence;Юмор;John;Original Female Character (minor);School;order 66 & RotS canon violence;romantic;Hermine Granger;Graphic Violence;Vaginal;really this is so fluffy with sugary sweetness you'll get a toothache;Trans;oral sex (male receiving);dealing with grief;Mostly Canon Compliant;Original Character - Freeform;OFC;Mention of blood;Non-Consensual;Consent Issues;Food mention;lots of swearing;unbetaed;No beta we die like mne;Black Widow;Minor Spoilers
Found Family;0;0;0;0;0;0;0;0;24960;9985;0;0;0;12665;0;25316;0;0;0;0;0;0;0;0;0;0;0;10855;0;0;10541;0;0;8142;7724;8725;0;6863;0;0;0;0;0;0;0;19548;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68829;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alpha/Beta/Omega Dynamics;0;0;0;0;0;0;0;0;0;0;0;117055;0;0;0;18537;0;14200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15590;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6460;5793;0;0;0;0;0;0;7922;9236;8139;8685;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3990;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
no beta we die like jason todd;0;0;0;0;0;0;0;0;31791;0;0;0;0;24976;15161;55750;0;0;0;0;266442;0;0;8221;0;0;0;17343;0;21734;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46906;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13686;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6985;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13479;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8449;9948;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alternate Universe - Canon Divergence;0;0;0;40101;0;0;0;0;51445;0;0;0;0;410628;0;68504;0;0;0;0;27849;0;0;18757;0;29352;0;0;0;27314;0;0;0;15963;10519;15583;12461;0;0;0;0;0;0;0;0;74506;0;0;0;0;0;0;0;0;11934;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32182;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14181;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9891;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5853;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Established Relationship;0;0;0;0;0;0;0;0;38271;0;0;0;0;0;414968;143232;0;27506;0;0;0;0;0;9031;0;0;0;0;30247;0;0;0;0;10886;0;10404;0;0;41681;0;22777;0;0;0;0;37858;0;0;0;0;0;0;0;31082;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11851;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31506;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9336;10350;8889;9513;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7715;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fluff;0;0;0;0;0;0;0;0;198728;0;0;0;0;0;193298;1438784;0;141571;0;0;0;0;0;58044;0;0;0;321694;163342;0;0;0;0;49094;0;48254;0;0;183002;0;0;0;0;0;0;274085;0;0;0;0;0;0;0;0;0;0;164909;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80070;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;123819;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47732;50712;46801;49019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31648;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fix-It;0;0;0;0;0;0;0;0;19278;0;0;0;0;35317;0;21453;52700;0;0;0;0;0;0;5144;0;9225;0;9566;0;0;0;0;0;5729;0;5715;0;0;0;0;0;0;0;0;0;21644;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12264;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5510;0;0;0;0;0;0;0;0;0;0;0;7419;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4401;5020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Smut;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;136681;0;368884;0;0;0;0;0;28933;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84308;0;0;0;0;0;0;76619;88031;0;0;164910;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61174;0;0;0;0;0;0;0;0;0;48194;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74583;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21938;25071;22765;23755;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8509;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PWP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30690;0;0;53663;0;0;0;0;0;3856;0;0;0;0;0;0;0;0;0;4276;0;3341;3563;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34085;53153;0;0;19338;0;0;0;0;0;0;0;23586;0;0;0;0;0;0;0;0;0;0;0;0;34196;0;0;0;0;0;0;0;0;0;10085;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27134;0;0;0;235838;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4097;0;3429;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3089;2796;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
lil bit of angst;0;0;0;0;0;0;0;0;27429;0;0;0;0;13996;16186;93865;0;0;0;0;0;0;0;5896;0;0;0;22865;14532;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15845;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16421;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6828;0;0;0;0;0;0;0;0;0;0;0;18312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;233921;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8141;8525;7941;8238;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2492;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Not Beta Read;0;0;0;0;0;0;0;0;31791;0;0;0;0;24976;15161;55750;0;0;0;0;266442;0;0;8221;0;0;0;17343;0;21734;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46906;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13686;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6985;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13479;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8449;9948;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Character Death;0;0;0;21495;0;0;0;19113;32699;0;0;0;0;26746;0;23267;0;0;0;0;0;123225;0;13940;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;88406;0;0;0;0;0;0;0;0;10723;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7804;10113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3417;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Original Character;0;0;0;46486;0;0;0;0;51205;0;0;0;0;48690;0;90366;0;32194;0;0;0;0;0;253582;0;40245;0;33953;45697;35987;0;0;0;15812;0;14214;13042;0;0;0;0;0;0;0;0;87410;0;0;0;0;0;0;0;0;160638;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25881;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17520;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4603;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Original Female Character(s);0;0;0;15578;0;0;0;0;17097;0;0;0;0;17293;0;36152;0;16820;0;0;0;0;0;253583;0;16595;0;13981;20520;12846;0;0;0;8378;0;7246;7366;0;0;0;0;0;0;0;0;32305;0;0;0;0;0;0;0;0;76301;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14257;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1608;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Friends to Lovers;0;0;0;0;0;0;0;0;25817;0;0;0;0;0;0;65438;0;0;0;0;0;0;0;10308;179615;41428;0;23904;21273;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34908;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27761;0;0;0;0;0;0;21921;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7925;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7721;8242;7962;8069;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Slow Burn;0;0;0;0;0;0;0;0;35699;0;0;0;0;26411;0;49264;0;0;0;0;0;0;0;16333;28014;226923;0;29291;0;27704;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58228;0;0;0;0;0;0;0;0;8991;0;0;0;0;0;25436;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9268;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7661;7955;7799;7818;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2444;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Post-Traumatic Stress Disorder - PTSD;0;0;0;0;0;0;0;0;35219;16904;0;0;0;13461;0;15548;0;0;0;0;0;0;0;6483;0;12341;112985;12637;0;0;0;0;0;8765;6108;7694;7489;4680;0;0;0;0;0;0;0;35370;0;0;0;0;0;0;0;0;4614;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fluff and Angst;0;0;0;0;0;0;0;0;69891;36049;0;0;0;23842;0;97645;0;0;0;0;0;0;0;13784;0;29106;0;321698;23458;0;0;0;0;8728;0;0;0;0;0;0;0;0;0;0;0;95189;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46619;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12285;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22865;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9866;10210;9843;10127;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4465;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Romance;0;0;0;56076;0;0;0;0;57836;0;0;0;0;0;0;169963;0;0;0;0;0;0;0;31649;0;47604;0;0;425476;0;0;0;0;10110;0;0;0;0;0;0;0;54423;0;0;0;102966;0;0;0;0;0;0;0;0;16768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21307;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51462;0;0;0;0;0;0;0;0;0;16512;0;0;0;0;0;0;0;0;0;0;0;19654;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13826;0;0;0;0;0;0;0;0;0;0;0;0;0;10417;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4544;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Other Additional Tags to Be Added;0;0;0;18928;0;0;0;0;26877;0;0;0;0;24535;0;38089;0;0;0;0;21735;0;0;12655;0;27608;0;19734;0;212516;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43117;0;0;0;0;0;0;0;0;8977;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12935;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6932;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9271;11154;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Friendship;0;0;0;0;0;0;0;0;84954;0;0;0;0;44773;0;150399;0;0;0;0;0;0;0;28548;179611;60226;0;52546;59136;0;229322;0;0;22793;0;22528;0;0;0;0;0;0;0;0;0;104148;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49046;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21609;21872;0;0;0;0;0;0;20646;21683;21790;21876;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
